nome_de_usuario;nome_completo;descricao;hashtags
caio_porcel;Caio Henrique Porcel;Sou um tatuador especializado em Old School;oldschool,curitiba,brasil,sao-paulo,retro
kauan_alexandre;Kauan Alexandre Mendes da Silva;Realismo mágico | SP;realismo,sao-paulo,sp,rutz
joao_pedro;João Pedro de Oliveira;O tatuador mais fofo de fineline de Porto Alegre;fineline,fofura,porto-alegre
vinicius_rebelatto;Vinicius Rebelatto;Leões e relógios, praia e vôlei;leão,relógio,praia,volei,curitiba
lara_ink;Lara Cristina Souza;Tatuagens delicadas e florais com alma feminina;delicada,floral,sp,sao-paulo,feminina
tatu_hugo;Hugo Martins;Preto e cinza com sombra pesada;blackandgrey,sombra,power,rio,rj
dani_skull;Daniele Rocha;Crânios, serpentes e tudo que é sombrio;dark,skull,serpente,gótica,sao-paulo
nando_pokes;Fernando Lima;Mini pokes autorais direto de BH;minipoke,bh,autoral,tattoo,minimalista
mari_fineart;Mariana Costa;Arte fina, traço limpo, coração cheio;fineline,fineart,amor,sp,minimal
edu_trad;Eduardo Pereira;Tradicional americano com um toque brasileiro;tradicional,oldschool,brasil,curitiba,tattoo
bia_japantattoo;Beatriz Tanaka;Tatuagens orientais com traço preciso;japonesa,oriental,precisão,sao-paulo,arte
caiotattoo_rio;Caio Mendes;Do tribal ao neotradicional, tudo no Rio;tribal,neotradicional,riodejaneiro,rj,brasil
aline_pontilhismo;Aline Barreto;Pontilhismo e mandalas com propósito;pontilhismo,mandala,espiritual,sp,sagrado
gustavo_neo;Gustavo Andrade;Neotradicional com cores vivas e muita energia;neotradicional,cores,vibrante,porto-alegre,tattoo
ju_blackink;Juliana Ferreira;Especialista em blackwork geométrico;blackwork,geométrico,sp,minimal,arte
leo_dotwork;Leonardo Matos;Dotwork intenso com simbologia oculta;dotwork,simbólico,tatuagem,sp,místico
carol_aquarela;Carolina Dias;Aquarela viva na pele, pura emoção;aquarela,colorido,emoção,rio,rj
rafa_tribal;Rafael Albuquerque;Tribais modernos e culturais;tribal,cultura,ancestral,brasilia,arte
isadora_fine;Isadora Menezes;Fineline com referências botânicas;fineline,botânico,natural,curitiba,minimalista
thiago_real;Thiago Costa;Realismo preto e cinza com emoção real;realismo,blackandgrey,detalhado,sp,sao-paulo
luci_dotsoul;Luciana Andrade;Pontilhismo espiritual e mandalas únicas;mandala,pontilhismo,espiritualidade,rj,arte
dudu_sketch;Eduardo Rocha;Sketch tattoo com alma de artista;sketch,autoral,arte,bh,criatividade
nath_color;Nathalia Gomes;Colorido vibrante e traço ousado;colorido,vibrante,sp,sao-paulo,tattoo
bruno_oldgold;Bruno Figueira;Old School raiz com traços marcantes;oldschool,tradicional,tattoo,retro,brasil
